date,BAC,BK,C,FHN,FITB,HBAN,JPM,KEY,MTB,NTRS,PBCT,PNC,RF,ZION,STI,TFC,USB,WFC,SPY
2001-10-31,-0.000169463,-0.014488475,-0.00065859,0.004944791,-0.00651528,-0.009627703,-0.004224098,-0.012081795,-0.005768022,0.001984566,0.013023291,-0.020517355,-0.01066176,-0.00374221,-0.002333323,-0.011395218,0.00169018,-0.008782898,-0.003391113
2001-11-01,0.016273929,-0.000294061,0.01603688,0.004631001,0.022155265,0.021386903,0.027714919,0.034336761,0.002137395,0.008120417,-0.026629917,0.014936242,0.021553317,0.012312191,0.016204497,0.02024927,0.012373414,0.014936713,0.025614357
2001-11-02,0.015346091,-0.001176485,0.014702676,0.002881019,-0.007456156,0.015862944,-0.008255345,0,0.005179829,0.005108022,-0.005660377,0.000358946,0.004365184,-0.009688671,0.004274179,0.001526694,0,-0.000249397,0.006819628
2001-11-05,0.00262855,0.037691449,0.007244885,0.028727315,0.037211691,0.027482856,0.008879015,0.034106412,0.020006057,0.049061734,0.010436414,0.015787535,0.024266597,0.020191453,0.02766408,0.022561027,0.020000034,0.01996006,0.013089248
2001-11-06,0.017696245,0.040011364,0.005923393,0.017313565,0.013811685,0.024924002,0.032453253,0.022867215,0.01857355,0.01900504,0.009389636,0.026139166,0.016973136,0.006733357,0.023096601,0.012224205,0.015795152,0.037182006,0.015540307
2001-11-07,0.010304289,0.019372364,0.011566772,-0.016195452,-0.015118788,-0.013641841,0.027970144,-0.000859865,0.000729328,0.013165135,0.003721,0.002581782,0.002781643,0.008107043,0.0076288,0.001767233,-0.017158161,0.004716909,-0.001334533
2001-11-08,0.005577665,0.007762338,0.008316008,0.002232214,0.014170043,-0.017438306,0.005441801,-0.003012035,0.019679278,0.0194911,-0.002780404,0.017167382,-0.000346771,-0.01145966,0.000308972,-0.002058209,-0.009819984,-0.002582084,0.003118026
2001-11-09,-0.000792381,0.002124861,-0.004123711,-0.000278419,0.001663378,0.000612009,0.006443299,-0.00388434,-0.004717573,-0.002655364,-0.003252797,-0.005907147,0.002774889,-0.008745099,-0.00401598,0.000883989,-0.002754779,-0.003294968,0.001065744
2001-11-12,-0.000475793,-0.01192683,-0.002070393,0.001392372,0.000830276,-0.012232462,-0.006402049,-0.003466201,-0.000143668,-0.014199489,0.002797255,-0.014431278,-0.005188489,-0.010463728,-0.005273014,-0.005298802,-0.007182379,0.006375454,-0.006121384
2001-11-13,0.006981889,0.035139416,0.036307054,0.008064509,0.009955176,0.006191974,0.014175238,0.016521703,0.014222064,0.012243433,-0.000464961,0.024806244,0.013560478,-0.00269544,0.00670409,0.014501268,0.012799191,-0.004223377,0.022494013
2001-11-14,0.000630333,-0.010624484,0.01001001,0.001379313,-0.004928524,0.009846144,0.007623966,-0.005987998,0.005665744,0.027392335,-0.002790645,0.004034255,0.004802768,0.001455295,-0.006814348,0.000291778,0.002197748,-0.002356232,0.000960285
2001-11-15,-0.004094462,0.002095364,-0.00713579,-0.003305835,0.000495275,-0.007921948,-0.002522126,-0.003442338,-0.001549304,0.005193959,-0.00513064,-0.034823339,-0.005462619,-0.006850696,-0.005145767,-0.001749821,-0.006030735,-0.011336787,0.001831494
2001-11-16,-0.011068955,-0.010454819,-0.025753632,-0.000276308,-0.009900965,-0.014127853,-0.003539808,-0.007340245,-0.006912087,-0.012228779,0.007969986,-0.034692107,-0.00617918,-0.012332779,-0.000313487,0.001460685,0.0137893,0.011944577,-0.00443982
2001-11-19,0.022545568,0.05573165,0.016393443,0.008294182,0,0.013707242,0.017508212,0.017398853,0.006392002,0.019877999,0.005581395,0.019406972,0.00829016,0.00211637,0.011288825,0.008168104,0.015233988,0,0.012329451
2001-11-20,-0.006880413,0.00075055,-0.001008065,-0.006854962,-0.002833303,-0.004302378,-0.017456284,-0.012398419,-0.00211717,-0.012822704,0.007863081,-0.006169548,-0.001370373,-0.004223801,-0.001085267,-0.000578717,-0.024115797,-0.001180341,-0.008378627
2001-11-21,0.001102244,-0.00800001,-0.013118063,-0.006350161,-0.007855611,0.001234478,-0.014213232,-0.004761931,-0.000141365,0.001905036,-0.004130257,-0.004256858,-0.013722136,-0.00657479,-0.006984336,-0.007237985,-0.006040566,0.000472712,-0.006620227
2001-11-23,0.022176722,0.0186492,0.021267881,0.013614897,0.010781661,0.013563578,0.014160639,0.007394523,0.007073136,0.023163357,0,0.013537623,0.014260909,0.011101632,0.017036576,0.011956834,0.027624309,0.012520642,0.014380914
2001-11-26,-0.000923181,-0.000247428,0.01742093,0.013432021,0.009999975,0.013381953,0.002538774,0.011658051,0.011377968,0.011488433,-0.008294982,0.009841785,0.00720164,0.014569228,0.004610466,-0.001729146,-0.019892518,0.011899167,0.002161134
2001-11-27,-0.022331754,0.006681576,-0.005117115,-0.012171946,-0.017326721,-0.008403325,0.007850026,-0.004268049,0,-0.015366597,0.000929385,-0.00156631,-0.007490661,-0.002705537,-0.008413692,-0.003175537,0.003839808,-0.005994889,-0.004312947
2001-11-28,-0.027882805,-0.047689302,-0.054401583,-0.009857652,-0.003862293,-0.007263973,-0.057788927,-0.016716648,-0.007638931,-0.027650569,-0.001857045,-0.020219625,-0.006174941,-0.001878054,-0.021906791,-0.013611278,0.005464502,-0.010438431,-0.018106246
2001-11-29,0.030627117,0.015487876,0.011715494,0.022400396,0.017532045,0.006097584,0.01493337,0.011333924,0.009097293,0.014305647,0,0.014054455,0.005868174,0.014216945,0.00410092,0.012624788,0.005434803,0.010079707,0.013499263
2001-11-30,-0.03490562,-0.002541928,-0.009512006,-0.02677839,-0.004473169,-0.018787846,-0.008933267,-0.012931083,-0.02219138,-0.005159946,-0.00837204,0.01666668,-0.012697321,-0.004741281,-0.006283404,-0.009857934,0.025945921,-0.006730121,-0.007138502
2001-12-03,0.000814585,-0.026503623,-0.020668046,-0.00055591,-0.013812645,-0.007412034,-0.031018079,-0.004803437,-0.004255362,-0.017116212,-0.005159518,-0.022433119,-0.010427555,-0.005799478,-0.009958857,-0.008784862,-0.009483683,-0.008177535,-0.0059623
2001-12-04,0.014813606,0.03874347,0.019611984,0.008898726,0.015693559,0.026135662,0.018331108,0.021500647,0.024786404,0.029375585,0.006129246,0.008826125,0.016859863,0.019166629,0.016765116,0.015657389,0.01223412,0.012485248,0.016935681
2001-12-05,-0.003849883,0.027469762,0.024461661,0.006615316,0.003987401,0.01698003,0.048361074,0.009879705,0.009035222,0.025461344,-0.008903476,0.01837269,0.023143375,0.032910889,0.011306552,0.011343786,0.01891743,0.00930669,0.018301679
2001-12-06,0.014492779,0.021829807,0.012244898,0.003833501,-0.003806049,0.01371494,0.034853936,0.00893233,0.001515369,0.016830564,0.009929104,0.00635737,-0.00101284,0.017217549,0.001242264,0.006327329,0.028880938,0.005532454,-0.000511117
2001-12-07,0.002857148,-0.000720103,-0.007862891,0.003546062,-0.001827253,-0.005294127,-0.015106503,0.005059057,0.009078455,-0.004260933,0.006086098,0.003926917,-0.000675964,-0.001361862,-0.003567049,0.003715269,0.005513719,0.002292579,-0.006647339
2001-12-10,-0.023108564,-0.021138606,-0.026214171,-0.006523502,-0.01065068,-0.018923696,-0.027407597,-0.007550348,-0.006952047,-0.018268546,-0.005583992,-0.012925142,-0.010145364,-0.005065305,-0.018988346,-0.009111609,0.000997032,-0.001829868,-0.018702817
2001-12-11,0.011827601,-0.000245424,0.014398985,0.005198346,0.00168206,0.008438782,-0.004653576,0.003381231,0.010295127,0.008382229,-0.000467902,-0.003273646,0.011615976,0.00352458,0.002221155,0.001149452,-0.02788842,-0.004582969,-0.002010804
2001-12-12,0.006885513,-0.002700061,-0.009463086,-0.007893297,0.002854777,0.007770536,-0.003376651,-0.008845791,-0.005434803,-0.007980105,-0.01170418,-0.011927375,-0.004052727,0.005853644,-0.003957575,0.002009176,0.009221327,-0.000920744,0.001138828
2001-12-13,-0.019720128,-0.016982494,-0.014537902,-0.012345702,-0.015740161,-0.023724882,-0.033359364,-0.016149641,-0.026639304,-0.0051952,-0.002842201,-0.018019573,-0.017633067,-0.00795344,-0.015416361,-0.008593504,-0.026903587,-0.015668209,-0.019425982
2001-12-14,-0.003569131,-0.017275972,-0.016016873,-0.004722165,-0.003742726,0,-0.028309497,0.004319671,0.009824519,-0.008760115,0.009501151,-0.007660793,0.007939222,-0.00430194,-0.009200963,0.008090112,-0.009911348,-0.001170483,0.009548454
2001-12-17,0.029794886,0,0.014564186,0.005860932,0.006830562,-0.001214979,0.018312981,0.008602183,0.00764424,0.003738974,0.014117593,0.00143623,0.004794544,-0.000589136,0.007820129,0.00945835,0.001053765,0.006327642,0.010342136
2001-12-18,-0.002687718,0.012738876,0.015410571,0.020810251,0.017469515,0.006082748,0.01335144,0.012793144,0.017655156,-0.013714889,-0.020417598,0.010218711,0.012269906,0.019060743,0.002748111,0.008517866,0.030526312,0.014205883,0.005949259
2001-12-19,0.006816685,0.026666684,0.03950104,-0.007610735,0.007334533,0.028415918,0.021780086,0.002105231,-0.010571954,0.012875536,-0.001421101,0.00958298,0.00639732,0.004242214,0.000644864,0.016328773,0.034218594,0.001148088,0.007044682
2001-12-20,-0.006455674,-0.001960328,-0.005799988,0.009860243,0.013403961,0.009994125,-0.038947356,0.008823571,0.004109631,0.007457604,-0.003320692,-0.002109315,0.006691245,0.003264174,0.011438684,0.010249384,0.006419712,0.003211083,-0.009845404
2001-12-21,-0.023771791,0.006629081,0.008851325,-0.011391332,0.019431721,-0.009895231,-0.02108435,0.000416503,-0.006821282,0.005720057,0.004283701,-0.017967244,-0.004985097,0.0241148,-0.014017159,-0.006032389,0.015701748,-0.0134888,0.002616619
2001-12-24,0.003246766,-0.005853644,-0.003589208,0.000823003,-0.006887719,0.004115208,0.008111914,0,0.003296674,0.000334568,0.002369659,-0.003408047,0,-0.006914576,0.003069445,-0.001379289,-0.009178769,0.003476192,-0.00191382
2001-12-26,0.009061511,-0.003925466,0.005003002,-0.006030648,0.006129049,-0.007611192,0.007491688,0.000832659,-0.000547658,0.002675583,-0.001418413,-0.001079938,-0.006345961,0.002634539,0.009019188,0.001933693,0,-0.003002334,0.005491129
2001-12-27,0.009461195,0.005172412,0.010354404,-0.003033674,-0.009778785,0.005309743,0.00027536,0.000831886,0.008219157,0.00233488,0,-0.001621624,-0.000336164,-0.015202657,-0.000638482,-0.004135691,0.010726441,0.005327852,0.006067935
2001-12-28,0.00921363,0.003185467,0.008868743,0.005809162,0.00323783,0.008215926,0.006332587,0.012468876,0.010869607,0.008319468,0.007102245,0.014257371,0.007061191,0.004192823,0.002715192,0.001384254,0.011577413,0.004608224,-0.000516953
2001-12-31,-0.009129514,-0.003419637,-0.013869909,-0.00275028,-0.010327568,0.000582085,-0.005471977,-0.000821037,-0.020833374,-0.006270582,-0.000470207,0,-0.00033392,-0.002087622,-0.00127426,-0.001658766,-0.00190744,-0.002981588,-0.014655146
2002-01-02,0.00015883,0.004656899,0.010499244,-0.012686201,-0.000163087,0.00349037,0,0.006573535,-0.006039737,-0.010793781,-0.014581382,-0.006049825,0.001336046,-0.019018638,-0.011164286,-0.008031042,-0.018155808,-0.000690191,0.010761117
2002-01-03,-0.001111812,0.022200529,0.000784148,0.001396651,0.002772374,0.011594247,0.026685042,0.004081648,0.009528998,0.013093819,-0.006682488,0.047260998,0.004002632,0.016479225,0.004838697,0.007258574,0.004866199,0.003683238,0.011339025
2002-01-04,0.015582756,0.016945126,0.018609207,-0.00334722,0.008131403,0.018338091,0.045016086,0.007723599,0.020793493,0.018227048,0.021624136,0.015042753,0.008637938,0.008392116,0,0.004157364,0.018886262,0.00252295,0.006675851
2002-01-07,-0.011899144,0.031448029,-0.011730722,0.001959075,0.000806569,-0.003376554,-0.002564063,-0.001613591,0.002010103,0.009275829,0.002822254,0.023240102,0.004611275,-0.000567406,0.001284139,0.005244235,-0.00237648,0.001601457,-0.007056638
